"(159.5000, 1.0000), 10.5476","(201.5000, 1.5000), 10.6067","(244.5000, 1.5000), 10.6067","(286.5000, 2.0000), 10.6889","(328.5000, 2.0714), 10.7025","(370.5000, 2.0714), 10.7025","(412.5000, 2.7500), 10.8542","(454.5000, 3.5000), 11.0681","(497.0000, 3.6154), 10.6336","(539.5000, 3.4231), 11.0440","(581.5000, 3.7857), 11.1617","(623.9889, 4.7111), 11.0643","(666.0000, 5.1154), 11.2325","(708.5000, 5.5000), 10.9773","(750.6071, 5.7857), 11.2149","(792.8094, 6.3792), 11.1876","(834.5000, 6.1250), 11.3034","(876.5000, 6.1250), 11.3034","(918.0000, 6.8529), 11.3122","(960.3636, 7.0455), 11.1457","(1002.5000, 7.2647), 11.1816","(1044.5000, 7.6176), 11.4141","(1086.5000, 7.8333), 11.5591","(1128.9688, 8.0312), 11.3580","(1170.5000, 8.5526), 11.3754","(1212.5625, 8.5625), 11.4241","(1254.5206, 8.6100), 11.4321","(1296.9062, 9.0938), 11.5334","(1338.6250, 9.6250), 11.6848","(1381.0000, 10.0000), 11.6620"
"(159.7708, 41.7635), 11.0758","(201.9310, 42.2069), 11.0273","(244.2237, 42.3355), 11.0200","(286.3328, 43.0784), 11.1377","(328.5000, 43.5000), 10.9773","(370.5000, 43.9211), 11.0380","(412.6929, 43.9252), 11.1143","(454.7143, 44.5000), 10.8716","(497.0000, 45.0000), 11.1804","(539.0000, 45.5938), 11.1571","(581.6929, 45.9252), 11.1143","(623.9545, 46.6364), 11.1457","(666.2097, 47.2097), 11.1077","(708.3710, 47.3710), 11.1538","(750.5000, 48.0625), 11.0513","(792.3636, 48.0000), 11.0226","(833.7712, 47.9237), 11.0112","(876.2778, 48.5000), 11.1702","(918.5938, 49.0000), 11.1571","(960.6030, 49.0496), 11.1226","(1002.5000, 49.5000), 10.9773","(1044.6489, 49.8191), 11.0140","(1086.7046, 49.9659), 11.0823","(1128.5000, 50.5000), 10.9773","(1170.8506, 50.6218), 11.0536","(1212.6840, 50.9368), 11.0470","(1254.7972, 51.1466), 11.0668","(1296.7727, 51.4545), 11.1920","(1339.0735, 52.2630), 11.0767","(1381.1875, 52.6250), 11.1883"
"(159.7250, 83.5875), 10.8281","(202.0000, 84.2105), 10.9925","(244.2857, 84.5000), 10.8716","(286.6761, 85.0845), 10.9307","(328.5000, 85.5000), 10.9773","(370.8000, 85.8000), 10.9125","(412.5000, 86.2857), 10.8716","(454.7143, 86.5000), 10.8716","(496.7895, 87.0000), 10.9926","(539.5000, 87.5000), 10.9773","(581.9730, 88.2432), 10.9758","(624.2174, 88.8913), 11.1831","(666.4000, 89.2000), 11.2161","(708.5000, 89.5000), 10.9773","(750.7619, 89.9524), 10.9898","(792.7751, 90.1987), 11.1071","(833.8534, 89.7972), 11.0668","(876.2500, 90.5000), 11.1944","(918.5000, 90.9211), 11.0380","(960.6865, 91.1780), 10.9836","(1002.5000, 91.5000), 10.9773","(1044.7632, 91.7632), 11.0791","(1086.7570, 91.9626), 11.0402","(1128.9504, 92.3969), 11.1225","(1170.8945, 92.5459), 11.0436","(1212.7931, 92.9310), 11.0273","(1254.8357, 93.3429), 11.1933","(1297.2471, 93.4004), 11.2462","(1339.3064, 94.3064), 11.2421","(1381.6862, 94.9015), 11.1329"
"(159.6642, 125.5438), 10.8578","(201.7931, 125.9310), 11.0273","(244.1055, 126.4541), 11.0437","(286.4620, 126.9430), 11.0335","(328.5000, 127.5000), 10.9773","(370.8667, 127.8667), 11.0017","(412.9231, 128.2308), 11.0098","(454.9190, 128.5198), 11.0480","(497.2097, 129.2097), 11.1077","(539.7558, 129.6938), 11.0215","(582.0000, 130.2105), 10.9925","(624.5000, 130.5500), 11.0207","(666.6250, 131.1875), 11.1883","(708.5000, 131.5000), 10.9773","(750.8461, 131.8846), 11.0088","(793.0000, 132.3611), 11.1190","(834.3636, 132.0000), 11.0226","(876.5000, 132.5000), 10.9773","(918.7000, 132.7000), 11.0536","(960.5000, 132.7143), 10.8716","(1002.6364, 132.9545), 11.1457","(1044.9015, 133.6861), 11.1329","(1086.9310, 134.2069), 11.0273","(1129.1494, 134.3782), 11.0536","(1171.3000, 134.7000), 11.0536","(1213.3138, 135.0985), 11.1330","(1255.5000, 135.5000), 10.9773","(1297.6862, 135.9015), 11.1329","(1339.9015, 136.6861), 11.1329","(1382.2097, 137.2097), 11.1077"
"(159.5000, 167.5000), 10.9773","(201.7750, 168.0000), 10.9797","(244.0000, 168.4615), 10.9818","(286.5000, 168.9706), 10.9928","(328.7143, 169.5000), 10.8716","(371.0000, 170.0000), 10.8168","(413.1185, 170.2791), 10.9862","(455.0941, 170.6004), 10.9668","(497.3062, 171.2442), 11.0215","(539.9211, 171.5000), 11.0380","(582.1116, 172.0388), 10.8885","(624.5500, 172.5000), 11.0207","(666.7903, 173.2097), 11.1077","(708.9211, 173.5000), 11.0380","(750.7895, 174.0000), 10.9925","(793.2000, 174.2000), 11.0942","(834.4066, 173.9579), 10.9664","(876.5000, 174.5000), 10.9773","(918.5000, 174.5000), 10.9773","(960.7903, 174.7903), 11.1077","(1003.0000, 175.2857), 11.0556","(1045.2365, 175.7708), 11.0758","(1087.2097, 176.2097), 11.1077","(1129.3710, 176.3710), 11.1538","(1171.3970, 176.9504), 11.1226","(1213.6250, 177.1875), 11.1883","(1255.9015, 177.6861), 11.1329","(1298.1466, 178.2028), 11.0668","(1340.5000, 178.5000), 10.9773","(1382.6030, 179.0496), 11.1226"
"(159.5000, 209.5000), 10.9773","(201.7903, 209.7903), 11.1077","(244.2097, 210.2097), 11.1077","(286.3576, 210.9371), 11.0823","(328.5000, 211.2857), 10.8716","(370.8506, 211.6218), 11.0536","(413.1774, 212.1774), 11.0629","(455.2273, 212.5455), 11.1920","(497.2097, 213.2097), 11.1077","(539.5000, 213.5000), 10.9773","(581.8226, 213.8226), 11.0629","(624.2273, 214.5455), 11.1920","(666.5000, 215.0000), 11.2362","(708.7000, 215.3000), 11.0536","(751.0000, 215.7143), 11.0556","(793.1334, 216.1333), 11.0017","(834.5883, 216.0000), 11.1538","(876.4077, 216.2484), 11.2414","(919.0000, 216.5000), 11.4128","(961.0769, 217.0769), 11.0773","(1003.1875, 217.5000), 11.1372","(1045.3750, 217.8125), 11.1883","(1087.6364, 217.9545), 11.1457","(1129.5000, 218.5000), 10.9773","(1171.7903, 218.7903), 11.1077","(1214.0985, 219.3139), 11.1330","(1256.2273, 219.5455), 11.1920","(1298.3064, 220.3065), 11.2421","(1340.6936, 220.6935), 11.2420","(1382.5454, 221.2273), 11.1920"
"(159.5000, 251.5000), 10.9773","(201.7581, 251.7581), 10.9717","(244.0810, 252.4802), 11.0480","(286.2138, 252.7754), 10.8893","(328.3880, 253.0809), 11.1028","(370.9318, 253.6023), 10.9868","(413.2365, 254.2292), 11.0758","(455.5000, 254.7143), 10.8716","(497.8893, 255.2541), 10.9693","(539.5000, 255.5000), 10.9773","(581.7895, 256.0000), 10.9925","(624.2368, 256.2368), 11.0791","(666.7903, 256.7903), 11.1077","(708.8815, 257.2791), 10.9862","(751.2368, 257.7632), 11.0791","(793.3135, 258.1780), 10.9837","(834.7143, 258.0000), 11.0556","(877.0000, 258.5000), 11.2362","(919.1417, 258.6468), 11.0366","(961.2955, 259.0341), 11.0823","(1003.5000, 259.5000), 10.9773","(1045.5000, 259.5000), 10.9773","(1087.6031, 260.1797), 11.2057","(1130.0000, 260.5000), 11.1019","(1172.2858, 261.0000), 11.0556","(1214.4401, 261.2753), 11.1430","(1256.4546, 261.7727), 11.1919","(1298.7521, 262.4587), 11.1760","(1341.1268, 262.7090), 11.2016","(1383.0341, 263.2954), 11.0824"
"(159.5000, 293.5000), 10.9773","(201.8448, 293.8448), 10.9725","(244.2097, 294.2097), 11.1077","(286.5000, 294.5000), 10.9773","(328.6864, 295.1780), 10.9837","(370.8945, 295.5459), 11.0437","(413.2105, 296.0000), 10.9925","(455.5000, 296.5000), 10.9773","(497.6549, 296.8521), 11.0391","(539.8889, 297.3333), 10.9348","(581.9310, 297.7931), 11.0273","(624.5000, 298.1875), 11.1372","(666.9015, 298.6861), 11.1329","(709.0000, 299.3929), 11.0395","(751.3421, 299.6579), 10.9220","(793.2857, 300.0000), 11.0556","(835.3071, 300.0748), 11.1143","(877.1875, 300.5000), 11.1372","(919.6290, 300.6290), 11.1538","(961.6672, 300.9216), 11.1378","(1003.5000, 301.5000), 10.9773","(1046.0000, 301.5000), 11.1019","(1088.1333, 302.1333), 11.0017","(1130.2273, 302.5454), 11.1920","(1172.5000, 303.0000), 11.2362","(1214.5555, 303.4445), 10.9979","(1256.7903, 303.7903), 11.1077","(1299.0985, 304.3139), 11.1330","(1341.2368, 304.7632), 11.0791","(1383.2097, 305.2097), 11.1076"
"(159.7632, 335.2368), 11.0791","(201.7250, 335.5875), 10.8281","(244.2105, 336.0000), 10.9925","(286.3358, 336.5438), 10.8578","(328.5000, 336.7500), 10.8542","(370.9318, 337.3977), 10.9868","(413.1333, 337.8667), 11.0017","(455.2222, 338.2222), 10.8828","(497.3358, 338.5438), 10.8578","(539.5316, 338.9948), 10.9838","(582.0000, 339.5000), 11.1019","(624.5555, 340.1111), 11.2245","(666.7443, 340.6131), 11.2455","(709.2105, 341.0000), 10.9926","(751.5000, 341.5000), 10.9773","(793.5574, 341.9303), 11.0118","(835.5000, 342.0000), 11.1019","(877.5000, 342.5000), 10.9773","(919.5000, 342.5000), 10.9773","(961.8000, 342.8000), 11.0942","(1004.0000, 343.0000), 11.1804","(1046.0000, 343.5667), 11.0630","(1088.3328, 344.0784), 11.1377","(1130.5000, 344.5000), 10.9773","(1172.7903, 344.7903), 11.1077","(1215.0000, 345.3235), 11.0874","(1257.2368, 345.7632), 11.0791","(1299.3572, 346.0714), 11.0773","(1341.1494, 346.3782), 11.0536","(1383.3511, 346.8192), 11.0139"
"(159.5462, 377.4202), 10.9777","(201.8945, 377.5459), 11.0437","(244.0000, 378.2105), 10.9926","(286.3710, 378.3710), 11.1538","(328.6120, 378.9191), 11.1028","(371.0690, 379.2069), 11.0273","(413.4202, 379.5462), 10.9778","(455.5000, 380.0000), 11.0115","(497.7143, 380.5000), 10.8716","(539.7895, 381.0000), 10.9925","(582.0985, 381.3139), 11.1330","(624.5000, 382.0000), 11.2362","(667.1470, 382.5588), 11.2556","(709.2288, 382.9237), 11.0112","(751.5000, 383.5000), 10.9773","(793.8913, 383.7391), 11.0530","(835.5000, 383.5000), 10.9773","(877.8913, 384.2174), 11.1831","(920.0000, 384.5000), 11.1019","(962.1830, 384.6311), 11.1893","(1004.2069, 385.0690), 11.0273","(1046.3064, 385.3065), 11.2421","(1088.6666, 385.6667), 11.2053","(1130.7675, 386.1512), 11.0426","(1172.9189, 386.5198), 11.0480","(1215.0000, 387.0000), 11.1804","(1257.4062, 387.1484), 11.2376","(1299.5000, 387.5000), 10.9773","(1341.3782, 388.1494), 11.0536","(1383.3710, 388.3710), 11.1538"
